Disease,Medication,Link
Hepatitis C,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",https://www.apollohospitals.com/keywords/hepatitis-c
Hepatitis D,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",https://www.apollohospitals.com/keywords/hepatitis-d
Hepatitis E,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",https://www.apollohospitals.com/keywords/hepatitis-e
Alcoholic hepatitis,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']",https://www.apollohospitals.com/keywords/alcoholic-hepatitis
Tuberculosis,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']",https://www.apollohospitals.com/keywords/tuberculosis
Common Cold,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']",https://www.apollohospitals.com/keywords/common-cold
Pneumonia,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']",https://www.apollohospitals.com/keywords/pneumonia
Dimorphic hemorrhoids,"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']",https://www.apollohospitals.com/keywords/dimorphic-hemorrhoids
Heart attack,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']",https://www.apollohospitals.com/keywords/heart-attack
Varicose veins,"['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']",https://www.apollohospitals.com/keywords/varicose-veins
Hypothyroidism,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']",https://www.apollohospitals.com/keywords/hypothyroidism
Hyperthyroidism,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']",https://www.apollohospitals.com/keywords/hyperthyroidism
Hypoglycemia,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']",https://www.apollohospitals.com/keywords/hypoglycemia
Osteoarthritis,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']",https://www.apollohospitals.com/keywords/osteoarthritis
Arthritis,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']",https://www.apollohospitals.com/keywords/arthritis
Vertigo,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']",https://www.apollohospitals.com/keywords/vertigo
Acne,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']",https://www.apollohospitals.com/keywords/acne
Urinary tract infection,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']",https://www.apollohospitals.com/keywords/urinary-tract-infection
Psoriasis,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']",https://www.apollohospitals.com/keywords/psoriasis
Impetigo,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']",https://www.apollohospitals.com/keywords/impetigo
